14/05/2024 06:26:16 PM : selenium.webdriver.common.selenium_manager : WARNING  : The chromedriver version (123.0.6312.86) detected in PATH at C:\Python Install\Lib\site-packages\seleniumbase\drivers\chromedriver.exe might not be compatible with the detected chrome version (124.0.6367.202); currently, chromedriver 124.0.6367.207 is recommended for chrome 124.*, so it is advised to delete the driver in PATH and retry
14/05/2024 06:26:17 PM : root         : INFO     :  ******** Portal_Smoke_Test_Cases Begin ********
14/05/2024 06:26:17 PM : root         : INFO     : ********** Test_NG_TC01 Begin  **********
14/05/2024 06:26:26 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
14/05/2024 06:26:26 PM : root         : INFO     : url is not open
14/05/2024 06:26:26 PM : root         : INFO     : opening localhost portal login
14/05/2024 06:26:26 PM : root         : INFO     : logging in to core
14/05/2024 06:26:26 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:26 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:28 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:29 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:31 PM : root         : INFO     : login success..
14/05/2024 06:26:34 PM : root         : INFO     : notification Groups List: ['son', 'abn', 'ptn', 'fraudn', 'vipn']
14/05/2024 06:26:35 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:35 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:35 PM : root         : INFO     : notification groups btn is clicked
14/05/2024 06:26:35 PM : root         : INFO     : enlisted groups count: 1
14/05/2024 06:26:35 PM : root         : INFO     : ng list: ['DefaultAlertGroup']
14/05/2024 06:26:39 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:39 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:42 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:42 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:42 PM : root         : INFO     : actual success msg: Success, the alert below has been created.
14/05/2024 06:26:42 PM : root         : INFO     : expected msg: Success, the alert below has been created.
14/05/2024 06:26:46 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:46 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:46 PM : root         : INFO     : notification groups btn is clicked
14/05/2024 06:26:46 PM : root         : INFO     : enlisted groups count: 2
14/05/2024 06:26:46 PM : root         : INFO     : ng list: ['DefaultAlertGroup', 'son']
14/05/2024 06:26:49 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:50 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:53 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:53 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:53 PM : root         : INFO     : actual success msg: Success, the alert below has been created.
14/05/2024 06:26:53 PM : root         : INFO     : expected msg: Success, the alert below has been created.
14/05/2024 06:26:57 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:26:57 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:26:57 PM : root         : INFO     : notification groups btn is clicked
14/05/2024 06:26:57 PM : root         : INFO     : enlisted groups count: 3
14/05/2024 06:26:57 PM : root         : INFO     : ng list: ['abn', 'DefaultAlertGroup', 'son']
14/05/2024 06:27:00 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:00 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:03 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:03 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:03 PM : root         : INFO     : actual success msg: Success, the alert below has been created.
14/05/2024 06:27:03 PM : root         : INFO     : expected msg: Success, the alert below has been created.
14/05/2024 06:27:07 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:07 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:07 PM : root         : INFO     : notification groups btn is clicked
14/05/2024 06:27:08 PM : root         : INFO     : enlisted groups count: 4
14/05/2024 06:27:08 PM : root         : INFO     : ng list: ['abn', 'DefaultAlertGroup', 'ptn', 'son']
14/05/2024 06:27:11 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:11 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:14 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:14 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:14 PM : root         : INFO     : actual success msg: Success, the alert below has been created.
14/05/2024 06:27:14 PM : root         : INFO     : expected msg: Success, the alert below has been created.
14/05/2024 06:27:18 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:18 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:18 PM : root         : INFO     : notification groups btn is clicked
14/05/2024 06:27:18 PM : root         : INFO     : enlisted groups count: 5
14/05/2024 06:27:18 PM : root         : INFO     : ng list: ['abn', 'DefaultAlertGroup', 'fraudn', 'ptn', 'son']
14/05/2024 06:27:22 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:22 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:25 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:25 PM : root         : INFO     : exiting explicit wait..
14/05/2024 06:27:25 PM : root         : INFO     : actual success msg: Success, the alert below has been created.
14/05/2024 06:27:25 PM : root         : INFO     : expected msg: Success, the alert below has been created.
14/05/2024 06:27:28 PM : root         : INFO     : username list: ['operator', 'responder', 'approver', 'executive', 'it admin']
14/05/2024 06:27:28 PM : root         : INFO     : ng list: ['son', 'abn', 'ptn', 'fraudn', 'vipn']
14/05/2024 06:27:28 PM : root         : INFO     : eg list: ['soe', 'abe', 'pte', 'fraude', 'vipe']
14/05/2024 06:27:28 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 06:27:28 PM : root         : INFO     : exiting explicit wait..
