22/07/2024 05:52:21 PM : numexpr.utils : INFO     : Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
22/07/2024 05:52:21 PM : numexpr.utils : INFO     : NumExpr defaulting to 8 threads.
22/07/2024 05:52:24 PM : root         : INFO     :  ******** Portal_Smoke_Test_Cases Begin ********
22/07/2024 05:52:24 PM : root         : INFO     : ********** TC_Portal_Login_02 started ********
22/07/2024 05:52:24 PM : root         : INFO     : verify_user_login_with_valid_credentials_and_click_on_cloud_login_and_verify_it_is_navigating_to_cloud_menu_panel
22/07/2024 05:52:31 PM : root         : INFO     : except: ()
22/07/2024 05:52:34 PM : root         : INFO     : username entered: core
22/07/2024 05:52:35 PM : root         : INFO     : password entered: Right_1r1s
22/07/2024 05:52:36 PM : root         : INFO     : Clicked on CLOUD LOGIN button....
22/07/2024 05:52:38 PM : root         : INFO     : agree and continue btn visible: False
22/07/2024 05:52:39 PM : root         : INFO     : Login successful...
22/07/2024 05:52:41 PM : root         : INFO     : status: [True]
